,Band1,Band2,Band3,Band4,Band5,Band6,Band7,Band8,Band9,Band10,Band11,Band12,Band13,Band14,Band15,Band16,Band17,Band18,Band19,Band20,Band21,Band22,Band23,Band24,Band25,Band26,Band27,Band28,Band29,Band30,Band31,Band32,Band33,Band34,Band35,Band36,Band37,Band38,Band39,Band40,Band41,Band42,Band43,Band44,Band45,Band46,Band47,Band48,Band49,Band50,Band51,Band52,Band53,Band54,Band55,Band56,Band57,Band58,Band59,Band60,Type
206,0.03,0.035,0.049,0.061,0.017,0.135,0.146,0.11199999999999999,0.19399999999999998,0.235,0.29,0.281,0.158,0.027000000000000003,0.067,0.14400000000000002,0.207,0.264,0.28300000000000003,0.429,0.568,0.6990000000000001,0.725,0.762,0.924,1.0,0.998,0.83,0.703,0.7140000000000001,0.6890000000000001,0.496,0.258,0.09699999999999999,0.078,0.036000000000000004,0.157,0.182,0.135,0.085,0.049,0.13699999999999998,0.155,0.155,0.132,0.098,0.126,0.095,0.049,0.024,0.004,0.009,0.005,0.013000000000000001,0.004,0.004,0.003,0.008,0.004,0.005,M
128,0.037000000000000005,0.059000000000000004,0.063,0.053,0.026000000000000002,0.142,0.207,0.273,0.307,0.26,0.348,0.4,0.457,0.595,0.792,0.8270000000000001,0.809,0.898,0.983,0.898,0.889,0.937,0.912,0.794,0.672,0.632,0.486,0.33899999999999997,0.483,0.382,0.308,0.127,0.07400000000000001,0.151,0.191,0.182,0.171,0.095,0.28300000000000003,0.301,0.16,0.14800000000000002,0.28800000000000003,0.205,0.106,0.14,0.106,0.053,0.04,0.018000000000000002,0.035,0.012,0.006,0.024,0.003,0.009,0.012,0.011000000000000001,0.01,0.013000000000000001,M
32,0.02,0.021,0.006,0.019,0.032,0.057,0.1,0.067,0.069,0.024,0.073,0.064,0.3,0.385,0.47700000000000004,0.46,0.318,0.41600000000000004,0.643,1.0,0.863,0.521,0.316,0.595,0.773,0.604,0.43799999999999994,0.5489999999999999,0.47200000000000003,0.624,0.385,0.159,0.389,0.529,0.35,0.44799999999999995,0.40399999999999997,0.503,0.648,0.5489999999999999,0.355,0.203,0.188,0.084,0.132,0.159,0.055999999999999994,0.062,0.034,0.037000000000000005,0.026000000000000002,0.016,0.007,0.027000000000000003,0.02,0.009,0.01,0.01,0.002,0.005,R
172,0.018000000000000002,0.044000000000000004,0.048,0.07,0.162,0.08900000000000001,0.06,0.107,0.318,0.292,0.327,0.304,0.303,0.259,0.168,0.131,0.28,0.452,0.664,0.768,0.696,0.439,0.243,0.289,0.49700000000000005,0.8170000000000001,1.0,0.924,0.852,0.772,0.5770000000000001,0.519,0.682,0.622,0.505,0.358,0.381,0.381,0.336,0.27699999999999997,0.365,0.38299999999999995,0.345,0.21,0.10300000000000001,0.08,0.07,0.053,0.024,0.012,0.012,0.012,0.011000000000000001,0.01,0.003,0.002,0.003,0.005,0.007,0.002,M
143,0.052000000000000005,0.094,0.062,0.042,0.1,0.243,0.17800000000000002,0.20199999999999999,0.261,0.129,0.265,0.278,0.44299999999999995,0.36700000000000005,0.204,0.276,0.325,0.154,0.278,0.35100000000000003,0.519,0.705,0.7140000000000001,0.6809999999999999,0.51,0.531,0.613,0.8390000000000001,0.903,0.861,0.966,0.917,0.713,0.69,0.731,0.413,0.158,0.182,0.138,0.29600000000000004,0.6940000000000001,0.825,0.535,0.44,0.645,0.621,0.302,0.138,0.036000000000000004,0.036000000000000004,0.046,0.043,0.027000000000000003,0.015,0.012,0.013000000000000001,0.002,0.011000000000000001,0.007,0.008,M
42,0.021,0.032,0.042,0.028999999999999998,0.012,0.044000000000000004,0.13,0.139,0.07,0.057,0.087,0.19399999999999998,0.14800000000000002,0.187,0.19899999999999998,0.32799999999999996,0.6859999999999999,0.581,0.25,0.17300000000000001,0.336,0.5589999999999999,0.659,0.701,0.81,0.89,0.8740000000000001,0.789,0.872,0.938,0.892,0.7509999999999999,0.6829999999999999,0.7609999999999999,0.902,1.0,0.912,0.7390000000000001,0.5920000000000001,0.406,0.302,0.233,0.293,0.23,0.239,0.191,0.11,0.03,0.017,0.038,0.005,0.009,0.004,0.015,0.011000000000000001,0.002,0.01,0.005,0.007,0.008,R
64,0.007,0.01,0.013999999999999999,0.049,0.025,0.081,0.07,0.07400000000000001,0.012,0.09,0.028999999999999998,0.155,0.14400000000000002,0.10400000000000001,0.142,0.12300000000000001,0.08900000000000001,0.205,0.083,0.152,0.303,0.161,0.067,0.14300000000000002,0.04,0.165,0.34,0.486,0.521,0.551,0.61,0.599,0.6759999999999999,0.89,1.0,0.9520000000000001,0.846,0.7070000000000001,0.67,0.633,0.51,0.41600000000000004,0.282,0.17,0.142,0.09699999999999999,0.08800000000000001,0.086,0.036000000000000004,0.023,0.025,0.004,0.005,0.008,0.012,0.01,0.005,0.003,0.007,0.006,R
6,0.032,0.096,0.132,0.141,0.16699999999999998,0.171,0.073,0.14,0.20800000000000002,0.35100000000000003,0.179,0.066,0.051,0.375,0.542,0.544,0.515,0.426,0.20199999999999999,0.423,0.772,0.9740000000000001,0.9390000000000001,0.556,0.527,0.6829999999999999,0.5710000000000001,0.5429999999999999,0.218,0.215,0.581,0.632,0.29600000000000004,0.187,0.297,0.516,0.615,0.428,0.5479999999999999,0.613,0.502,0.23800000000000002,0.196,0.175,0.13,0.06,0.11199999999999999,0.105,0.051,0.016,0.02,0.02,0.025,0.013000000000000001,0.007,0.013999999999999999,0.009,0.013999999999999999,0.004,0.01,R
77,0.034,0.028999999999999998,0.048,0.054000000000000006,0.079,0.08,0.114,0.12300000000000001,0.124,0.084,0.036000000000000004,0.069,0.17,0.326,0.46,0.622,0.733,0.784,0.799,0.826,1.0,0.981,0.9620000000000001,0.96,0.912,0.909,0.7929999999999999,0.588,0.34700000000000003,0.424,0.46299999999999997,0.341,0.285,0.285,0.174,0.055,0.11900000000000001,0.115,0.086,0.18100000000000002,0.126,0.08,0.038,0.127,0.11199999999999999,0.05,0.095,0.068,0.026000000000000002,0.017,0.003,0.015,0.011000000000000001,0.003,0.004,0.017,0.013999999999999999,0.002,0.007,0.005,R
137,0.043,0.09,0.083,0.081,0.016,0.027999999999999997,0.057,0.20600000000000002,0.389,0.711,0.7340000000000001,0.503,0.3,0.195,0.27699999999999997,0.374,0.251,0.251,0.32899999999999996,0.48700000000000004,0.653,0.845,0.9740000000000001,1.0,0.6659999999999999,0.532,0.402,0.344,0.424,0.418,0.439,0.11599999999999999,0.434,0.655,0.617,0.43700000000000006,0.41200000000000003,0.364,0.457,0.43700000000000006,0.29600000000000004,0.431,0.41600000000000004,0.182,0.149,0.013999999999999999,0.11599999999999999,0.205,0.107,0.02,0.021,0.018000000000000002,0.02,0.021,0.013999999999999999,0.005,0.003,0.016,0.006,0.002,M
21,0.066,0.057999999999999996,0.084,0.037000000000000005,0.046,0.077,0.077,0.113,0.235,0.184,0.287,0.413,0.365,0.198,0.284,0.40399999999999997,0.584,0.679,0.609,0.486,0.325,0.201,0.20800000000000002,0.16899999999999998,0.248,0.27399999999999997,0.298,0.466,0.6990000000000001,0.747,0.7959999999999999,0.7979999999999999,0.672,0.6940000000000001,0.7440000000000001,0.8170000000000001,0.8909999999999999,1.0,0.875,0.706,0.68,0.59,0.462,0.364,0.149,0.122,0.131,0.12,0.057999999999999996,0.024,0.013999999999999999,0.013999999999999999,0.019,0.004,0.004,0.003,0.002,0.016,0.011000000000000001,0.008,R
122,0.025,0.012,0.027999999999999997,0.076,0.122,0.154,0.11900000000000001,0.12300000000000001,0.212,0.253,0.28600000000000003,0.29600000000000004,0.33399999999999996,0.429,0.52,0.609,0.7240000000000001,0.758,0.773,0.81,0.9,0.925,0.9359999999999999,0.985,0.978,1.0,0.99,0.9079999999999999,0.731,0.5760000000000001,0.447,0.37200000000000005,0.20800000000000002,0.096,0.049,0.141,0.255,0.205,0.161,0.223,0.177,0.22899999999999998,0.252,0.146,0.067,0.096,0.149,0.113,0.046,0.019,0.013999999999999999,0.003,0.007,0.015,0.001,0.013000000000000001,0.005,0.024,0.008,0.007,M
170,0.013000000000000001,0.017,0.018000000000000002,0.036000000000000004,0.044000000000000004,0.07400000000000001,0.08,0.046,0.037000000000000005,0.125,0.24,0.23199999999999998,0.252,0.147,0.067,0.11,0.235,0.32799999999999996,0.442,0.517,0.6509999999999999,0.779,0.7979999999999999,0.779,0.8590000000000001,0.932,0.945,0.8640000000000001,0.722,0.485,0.136,0.295,0.47200000000000003,0.604,0.8079999999999999,0.987,0.88,0.6409999999999999,0.428,0.27,0.264,0.33399999999999996,0.434,0.45399999999999996,0.396,0.252,0.10800000000000001,0.037000000000000005,0.028999999999999998,0.01,0.005,0.009,0.005,0.005,0.002,0.001,0.004,0.002,0.003,0.004,M
84,0.038,0.032,0.042,0.035,0.179,0.16399999999999998,0.08900000000000001,0.08199999999999999,0.17800000000000002,0.205,0.314,0.312,0.369,0.38799999999999996,0.585,0.787,0.9740000000000001,1.0,0.9840000000000001,0.861,0.8440000000000001,0.9059999999999999,0.585,0.40299999999999997,0.595,0.679,0.639,0.5,0.5579999999999999,0.483,0.473,0.332,0.397,0.389,0.231,0.10400000000000001,0.131,0.086,0.257,0.318,0.265,0.271,0.171,0.057999999999999996,0.12300000000000001,0.22,0.22,0.107,0.042,0.016,0.009,0.005,0.004,0.008,0.01,0.006,0.006,0.006,0.004,0.005,R
102,0.059000000000000004,0.121,0.127,0.15,0.14400000000000002,0.055999999999999994,0.083,0.067,0.13699999999999998,0.235,0.321,0.426,0.52,0.491,0.595,0.722,0.904,0.9109999999999999,0.872,0.769,0.733,0.522,0.31,0.317,0.22699999999999998,0.16399999999999998,0.175,0.184,0.205,0.16699999999999998,0.27699999999999997,0.31,0.34,0.444,0.505,0.281,0.168,0.263,0.32,0.193,0.09300000000000001,0.044000000000000004,0.078,0.07200000000000001,0.04,0.055,0.10800000000000001,0.114,0.077,0.026000000000000002,0.022000000000000002,0.033,0.011000000000000001,0.009,0.016,0.012,0.004,0.01,0.023,0.012,M
163,0.007,0.003,0.009,0.006,0.042,0.086,0.11800000000000001,0.1,0.198,0.23199999999999998,0.247,0.28800000000000003,0.213,0.071,0.11900000000000001,0.281,0.42200000000000004,0.528,0.586,0.615,0.675,0.787,0.897,0.983,1.0,0.846,0.606,0.304,0.013999999999999999,0.253,0.434,0.49200000000000005,0.541,0.596,0.525,0.37799999999999995,0.237,0.172,0.188,0.325,0.258,0.242,0.271,0.23199999999999998,0.172,0.146,0.11800000000000001,0.087,0.039,0.013000000000000001,0.009,0.008,0.007,0.008,0.003,0.006,0.004,0.004,0.001,0.004,M
133,0.079,0.071,0.035,0.166,0.133,0.023,0.077,0.268,0.5660000000000001,0.6609999999999999,0.5,0.258,0.165,0.435,0.452,0.45799999999999996,0.337,0.4,0.532,0.9009999999999999,0.9940000000000001,0.369,0.10099999999999999,0.025,0.23199999999999998,0.39799999999999996,0.226,0.525,0.69,0.8320000000000001,0.433,0.374,0.5760000000000001,0.804,0.7959999999999999,0.7170000000000001,0.706,0.815,0.76,0.603,0.455,0.473,0.44799999999999995,0.37200000000000005,0.469,0.384,0.077,0.147,0.078,0.047,0.019,0.03,0.039,0.028999999999999998,0.018000000000000002,0.025,0.013999999999999999,0.007,0.002,0.01,M
95,0.028999999999999998,0.04,0.077,0.081,0.052000000000000005,0.105,0.013999999999999999,0.067,0.129,0.115,0.094,0.079,0.025,0.11900000000000001,0.10400000000000001,0.205,0.156,0.26899999999999996,0.37799999999999995,0.402,0.34700000000000003,0.14,0.121,0.28300000000000003,0.15,0.263,0.447,0.752,0.904,0.7809999999999999,0.47700000000000004,0.248,0.537,0.628,0.365,0.457,0.636,0.647,0.552,0.325,0.22899999999999998,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.024,0.02,0.005,0.013999999999999999,0.016,0.008,0.013999999999999999,0.011000000000000001,R
13,0.009,0.006,0.025,0.049,0.12,0.159,0.139,0.099,0.096,0.19,0.19,0.255,0.40700000000000003,0.299,0.29,0.5329999999999999,0.402,0.157,0.302,0.391,0.354,0.444,0.6409999999999999,0.46,0.601,0.8690000000000001,0.8340000000000001,0.767,0.508,0.462,0.5379999999999999,0.5379999999999999,0.384,0.36,0.74,0.7759999999999999,0.386,0.067,0.368,0.611,0.35100000000000003,0.231,0.22,0.305,0.19399999999999998,0.157,0.048,0.054000000000000006,0.015,0.007,0.019,0.006,0.01,0.019,0.008,0.015,0.016,0.005,0.019,0.01,R
19,0.013000000000000001,0.015,0.064,0.17300000000000001,0.256,0.256,0.295,0.41100000000000003,0.498,0.5920000000000001,0.583,0.542,0.547,0.531,0.498,0.698,0.8290000000000001,0.784,0.8220000000000001,0.9359999999999999,1.0,0.922,0.784,0.547,0.456,0.5920000000000001,0.545,0.397,0.08800000000000001,0.23800000000000002,0.2,0.059000000000000004,0.254,0.201,0.033,0.155,0.121,0.245,0.317,0.32,0.305,0.084,0.127,0.138,0.114,0.052000000000000005,0.007,0.027999999999999997,0.037000000000000005,0.012,0.015,0.009,0.004,0.01,0.012,0.001,0.018000000000000002,0.009,0.012,0.006,R
127,0.021,0.026000000000000002,0.012,0.077,0.106,0.168,0.302,0.34600000000000003,0.331,0.41200000000000003,0.39399999999999996,0.133,0.462,0.997,0.914,0.8290000000000001,0.6990000000000001,0.782,0.879,0.85,0.892,0.9470000000000001,1.0,0.898,0.7809999999999999,0.8320000000000001,0.65,0.455,0.473,0.33899999999999997,0.275,0.098,0.048,0.14,0.183,0.215,0.127,0.191,0.33899999999999997,0.344,0.237,0.12,0.266,0.259,0.139,0.10800000000000001,0.138,0.132,0.107,0.032,0.032,0.006,0.016,0.008,0.037000000000000005,0.01,0.013000000000000001,0.028999999999999998,0.013000000000000001,0.002,M
58,0.022000000000000002,0.002,0.008,0.01,0.044000000000000004,0.091,0.08900000000000001,0.066,0.162,0.145,0.14400000000000002,0.095,0.062,0.16399999999999998,0.071,0.084,0.259,0.268,0.309,0.46799999999999997,0.596,0.7240000000000001,0.877,0.9209999999999999,0.9279999999999999,0.9940000000000001,1.0,0.907,0.8540000000000001,0.7290000000000001,0.65,0.607,0.5589999999999999,0.597,0.628,0.546,0.479,0.396,0.209,0.165,0.184,0.065,0.076,0.049,0.035,0.03,0.024,0.038,0.012,0.007,0.005,0.003,0.013000000000000001,0.01,0.004,0.006,0.003,0.004,0.002,0.003,R
16,0.035,0.012,0.019,0.047,0.07400000000000001,0.11800000000000001,0.168,0.154,0.147,0.29100000000000004,0.233,0.22399999999999998,0.247,0.156,0.349,0.331,0.23,0.22,0.249,0.413,0.316,0.619,0.585,0.34,0.256,0.56,0.8140000000000001,0.6940000000000001,0.698,0.866,0.593,0.366,0.675,0.87,0.784,0.755,0.579,0.47100000000000003,0.125,0.609,0.732,0.598,0.34299999999999997,0.18,0.23800000000000002,0.342,0.23,0.069,0.022000000000000002,0.047,0.043,0.035,0.016,0.015,0.011000000000000001,0.005,0.01,0.002,0.007,0.007,R
151,0.023,0.032,0.017,0.023,0.040999999999999995,0.012,0.022000000000000002,0.08,0.23600000000000002,0.24600000000000002,0.22399999999999998,0.152,0.17300000000000001,0.31,0.43799999999999994,0.56,0.682,0.616,0.68,0.8440000000000001,0.992,1.0,0.7979999999999999,0.5429999999999999,0.395,0.518,0.565,0.304,0.188,0.396,0.22899999999999998,0.354,0.419,0.24,0.185,0.376,0.433,0.363,0.252,0.187,0.105,0.23399999999999999,0.19899999999999998,0.11,0.068,0.03,0.067,0.078,0.046,0.025,0.015,0.012,0.004,0.012,0.004,0.011000000000000001,0.005,0.009,0.001,0.009,M
67,0.037000000000000005,0.04,0.032,0.028999999999999998,0.08199999999999999,0.134,0.11599999999999999,0.066,0.016,0.051,0.091,0.254,0.146,0.127,0.122,0.16699999999999998,0.142,0.128,0.18600000000000003,0.114,0.207,0.022000000000000002,0.24,0.255,0.024,0.192,0.475,0.7,0.682,0.644,0.706,0.537,0.66,0.871,0.9520000000000001,0.96,0.7709999999999999,0.677,0.643,0.672,0.604,0.516,0.38,0.228,0.152,0.08,0.08,0.075,0.057,0.018000000000000002,0.006,0.009,0.016,0.016,0.008,0.007,0.013999999999999999,0.007,0.008,0.007,R
34,0.031,0.049,0.069,0.083,0.008,0.02,0.098,0.102,0.20199999999999999,0.077,0.177,0.256,0.281,0.272,0.32299999999999995,0.34600000000000003,0.54,0.7909999999999999,0.9059999999999999,0.87,0.767,0.29600000000000004,0.415,0.604,0.318,0.348,0.616,0.805,0.629,0.5,0.583,0.6659999999999999,0.41200000000000003,0.126,0.249,0.46799999999999997,0.5379999999999999,0.315,0.214,0.185,0.168,0.233,0.102,0.071,0.062,0.078,0.076,0.084,0.059000000000000004,0.007,0.009,0.009,0.003,0.013000000000000001,0.019,0.01,0.023,0.018000000000000002,0.005,0.004,R
119,0.026000000000000002,0.027000000000000003,0.022000000000000002,0.075,0.136,0.151,0.132,0.165,0.18600000000000003,0.201,0.289,0.365,0.35100000000000003,0.35,0.43200000000000005,0.54,0.624,0.688,0.733,0.8109999999999999,0.84,0.863,0.875,0.961,0.972,0.912,0.858,0.88,0.772,0.5710000000000001,0.426,0.28600000000000003,0.311,0.207,0.11599999999999999,0.018000000000000002,0.13,0.248,0.16399999999999998,0.11,0.214,0.203,0.18899999999999997,0.13699999999999998,0.138,0.031,0.037000000000000005,0.061,0.04,0.017,0.013999999999999999,0.022000000000000002,0.018000000000000002,0.013000000000000001,0.002,0.012,0.005,0.002,0.003,0.002,M
120,0.035,0.051,0.008,0.024,0.043,0.07400000000000001,0.094,0.113,0.12300000000000001,0.151,0.18100000000000002,0.239,0.295,0.287,0.401,0.532,0.5489999999999999,0.5820000000000001,0.604,0.675,0.708,0.789,0.9279999999999999,0.978,0.9740000000000001,1.0,0.97,0.996,0.8240000000000001,0.602,0.534,0.48700000000000004,0.353,0.157,0.095,0.161,0.282,0.33899999999999997,0.302,0.294,0.298,0.268,0.20600000000000002,0.207,0.162,0.122,0.10099999999999999,0.07400000000000001,0.039,0.005,0.015,0.004,0.012,0.011000000000000001,0.011000000000000001,0.01,0.005,0.002,0.008,0.003,M
